ISO	IW_HADI	IW_HNFW	JE_EMPL	JE_PE	JE_LTUR	HO_NUMR	HO_EXP	WL_EWLH	WL_LEPC	HS_LEB	HS_SFRH	ES_EDUA	ES_ADCO	ES_STCS	SC_SNTWS	CG_SAYG	CG_VOTO	EQ_SATW	EQ_AIRP	PS_HOMI	PS_SFRV	SW_LIFS
AUS	33254	383800	72.16	51148	1.42	2.33	20.26	13.39	14.35	82.4	85.2	79.0	274	502	93.6	33.03	91.0	92.2	5.14	1.0	63.6	7.65
AUT	32346	299189	71.11	45988	1.67	1.60	21.34	7.32	14.55	81.6	69.5	84.6	272	492	91.5	31.01	74.9	93.0	17.86	0.4	80.7	7.90
BEL	29701	349764	61.80	48093	4.39	2.20	20.53	4.73	15.77	81.4	75.0	74.7	278	503	91.7	33.77	89.4	84.4	14.65	1.0	70.7	7.60
CAN	29634	360832	72.51	48164	0.80	2.52	22.51	3.83	14.41	81.5	88.1	90.4	269	523	92.6	35.11	68.3	91.0	7.09	1.5	80.9	8.00
CHL		69748	62.44			1.89	18.25	13.84		79.0	59.1	61.4	213	443	83.9	59.83	49.3	68.8	15.85	3.7	51.1	
CZE	20389		70.23	21185	2.44	1.40	23.96	5.99		78.9	60.7	93.2	275	491	89.0	21.18	59.5	86.9	20.32	0.7	68.3	6.90
DNK	27874		73.51	49589	1.66	1.90	23.65	2.21	15.87	80.8	72.4	80.4	275	504	95.3	50.14	85.9	94.3	11.07	0.3	83.0	7.50
EST	17610		71.82	21020	2.36	1.60	17.74	3.29	14.90	77.2	51.8	90.9	275	524	90.5	27.17	64.2	81.8	9.39	3.1	67.2	6.50
FIN	28716	159972	68.73	40742	2.32	1.90	22.79	3.60	15.17	81.3	69.2	87.2	285	523	94.6	46.81	68.9	94.0	7.69	1.4	82.9	8.00
FRA	30368	231194	63.80	40828	4.59	1.80	20.95	7.77	16.36	82.8	68.1	77.3	258	496	88.4	10.04	80.4	81.7	13.69	0.6	69.6	7.14
DEU	32941	208267	73.97	43872	2.03	1.80	20.41	4.96	15.55	81.2	65.2	86.8	271	508	92.0	24.74	71.5	93.4	15.31	0.4	75.9	7.30
GRC	17429	191298	50.78	26436	18.20	1.20	23.74	6.37		81.5	73.5	70.2	253	458	82.3	70.89	63.6	69.3	20.02	1.5	61.8	6.20
HUN	16381		63.94	21399	3.18	1.20	18.44	3.76		75.9	57.5	83.2		474	84.2		61.8	76.2	19.87	0.9	50.7	6.10
ISL	24318		84.23		0.64	1.60	24.42			82.9	76.1	74.7		481	98.3		79.2	98.6	3.09	0.3	88.3	7.90
IRL	23564		63.10	53286	5.60	2.10	20.77	4.11		81.0	82.5	79.8	261	509	95.7	27.72	65.1	82.2	7.22	0.6	75.5	7.40
ISR			68.32	29635	0.60	1.15		14.74		82.2	84.3	85.5	253	472	86.6	30.45	72.3	66.5	22.09	1.8	70.2	
ITA	25409	321933	57.13	34744	7.01	1.40	23.49	3.83	14.89	83.2	67.9	59.9	249	485	90.8	17.55	75.2	70.9	24.00	0.8	58.3	7.00
JPN	27761		73.27	35672	1.19	1.89	22.30		14.85	83.7	35.4		292	529	89.7	26.28	52.7	86.1	14.98	0.3	70.6	
KOR	20237	293178	65.75	36653	0.01	1.43	15.21		14.70	82.2	32.5	85.8	268	519	75.9	37.01	75.8	73.7	30.30	1.1	63.9	
LVA	14237		68.10		4.49	1.20	23.20	2.45	13.83	74.3	45.8	87.8		487	85.8		58.8	76.6	11.94	5.9	60.7	6.50
LUX		723489	66.13	61511	1.90	2.00		3.27		82.3	72.8	74.6		483	91.6		91.2	84.7	12.80	0.7	72.0	7.50
MEX			60.57	12850	0.05	1.03	20.70	28.28		75.0	65.5	35.5		416	80.1		63.1	67.0	14.61	20.3	45.9	8.00
NLD	28097	191210	74.11	51003	3.00	1.90	19.53	0.44		81.8	77.3	76.4	282	508	90.1	40.30	81.9	88.9	14.57	0.8	81.2	7.50
NZL			74.28		0.76	2.36	25.32	13.78	14.87	81.6	88.9	74.7	276	506	95.4	42.74	77.0	81.4	4.96	1.3	64.8	7.80
NOR	34359	192887	74.86	51718	0.51	2.10	17.29	3.05	15.56	82.2	78.5	82.4	278	504	94.1	49.36	78.2	93.4	5.32	0.6	87.7	7.90
POL	18246		62.93	23649	2.95	1.10	22.58	7.25	14.42	77.7	58.1	90.8	263	504	88.7	36.13	55.3	75.7	22.16	0.8	66.3	7.30
PRT	19829	210857	63.90	23977	7.14	1.70	21.09	9.77		80.8	45.9	45.1		497	86.5		55.8	81.9	10.94	1.0	72.1	6.20
SVK	19239	129652	62.72	22151	7.14	1.10	23.65	6.23		76.9	64.7	91.3	275	463	91.5	23.04	59.8	75.4	20.80	0.8	60.1	7.00
SVN	20015		65.22	33068	4.69	1.50	18.29	5.50	14.75	81.2	64.8	86.8	257	509	90.5	12.86	51.7	87.9	18.25	0.4	84.7	7.10
ESP	22494	356900	58.72	36013	11.38	1.90	21.75	5.61	15.93	83.3	72.6	57.4	249	491	94.8	23.42	69.8	75.6	11.69	0.6	83.1	6.90
SWE	29796		75.54	40994	1.30	1.80	19.64	1.10	15.18	82.3	80.1	82.0	279	496	91.8	45.33	85.8	88.6	8.82	0.8	75.9	8.00
CHE	36830		80.22	57082	1.75	1.90	21.46			83.3	79.3	88.2		506	94.0		48.4	92.4	17.77	0.5	84.0	7.90
TUR			50.19		2.18	1.00	20.95	39.26		78.0	68.1	37.0	223	425	85.6	23.95	85.2	62.0	21.38	1.7	60.6	
GBR	27526	338789	73.23	41659	1.70	2.00	23.62	12.83	14.87	81.0	70.0	79.1	266	500	93.2	31.23	66.1	82.8	11.40	0.2	77.4	7.67
USA	42422	452900	68.71	57139	0.99	2.36	18.45	11.69	14.47	78.8	88.1	89.5	261	488	89.9	43.81	68.3	81.1	10.03	5.1	74.1	
OECD	31651	345358	66.37	44982	2.32	1.80	20.52	13.14	14.90	80.2	69.1	73.7	263	486	88.57	32.82	68.7	79.43	14.56	3.85	68.62	7.43