ISO	IW_HNFW_edu_secondary	JE_PE_edu_secondary	JE_EMPL_edu_secondary	JE_UNEM_edu_secondary	HS_SFRH_edu_secondary	WL_EWLH_edu_secondary	ES_STCS_edu_secondary	ES_ADCO_edu_secondary	SC_SNTWS_edu_secondary	CG_POEF_edu_secondary	CG_VOTO_edu_secondary	EQ_SATW_edu_secondary	PS_SFRV_edu_secondary	SW_LIFS_edu_secondary
AUS	0.67	0.77	0.94	0.76		1.24	0.91	0.93	0.93	0.85		0.73	0.75	0.97
AUT	0.35	0.73	0.89	0.73	0.57	1.59	0.94	0.91	0.74	0.73		1.04	0.62	0.94
BEL	0.68	0.76	0.85	0.55	0.66	1.56	0.91	0.89	0.80	0.67		1.16	0.84	0.94
CAN	0.59	0.71	0.90	0.69		0.96	0.94	0.92	1.00	0.81		0.77	0.74	0.96
CHL	0.39		0.85	0.88	0.83		0.92	0.87	0.64	0.50		1.13	0.91	0.91
CZE		0.69	0.93	0.50	0.58		0.92	0.89	0.63	0.70		0.89	0.77	0.90
DNK	0.56	0.81	0.93	1.01	0.69	0.99	0.93	0.92	1.04	0.74		1.02	0.66	0.98
EST	0.68	0.70	0.90	0.61	0.75	1.53	0.96	0.93	0.79	0.81		0.77	0.93	0.88
FIN	0.50	0.71	0.88	0.78	0.70	0.99	0.92	0.91	0.56	0.51		0.94	0.99	0.95
FRA	0.57	0.75	0.87	0.66	0.66	1.58	0.91	0.87	0.69	0.85		1.12	0.73	0.91
DEU	0.41	0.67	0.91	0.54	0.75	1.55	0.94	0.90	0.95	0.67		0.87	0.69	0.92
GRC	0.79	0.66	0.82	0.75	0.77	0.89	0.92	0.92	0.74	0.88		0.96	0.81	0.93
HUN	0.42	0.62	0.89	0.38	0.72	1.17	0.92		0.56			1.09	1.07	0.86
ISL		0.79	0.96	0.89	0.67	0.99	0.94		0.98			1.27	0.93	0.93
IRL	0.86	0.63	0.84	0.52	0.69	1.13	0.93	0.91	0.88	0.81		1.00	0.78	0.98
ISR			0.85	0.67			0.89	0.89	0.78	0.88		1.14	0.85	0.98
ITA	0.56	0.74	0.89	0.76	0.74	1.20	0.97	0.94	0.78	0.83		1.05	1.02	0.95
JPN		0.78			0.88		0.91	0.92	0.98	0.75		1.10	0.67	0.93
KOR	0.62	0.67	0.94	0.97	0.92		0.92	0.93	0.72	0.79		0.94	0.83	0.91
LVA	0.33		0.84	0.42	0.72	1.22	0.94		0.54			1.04	1.05	0.88
LUX	0.63	0.67	0.85	0.84	0.68	2.03	0.91		0.94			1.14	0.66	0.94
MEX		0.54	0.88	1.06			0.96		0.79			0.98	1.00	0.93
NLD		0.73	0.89	0.54	0.65	0.94	0.94	0.92	0.84	0.66		0.98	0.63	0.96
NZL	0.74		0.93	0.57			0.94	0.93	1.16	0.74		0.86	0.91	0.97
NOR	0.72	0.88	0.90	0.76	0.56	0.88	0.94	0.91	0.60	0.59		1.21	0.93	0.97
POL	0.85	0.62	0.77	0.49	0.53	0.76	0.90	0.87	0.55	0.61		1.11	1.02	0.89
PRT	0.55	0.60	0.94	0.72	0.85	1.88	0.93		0.57			1.04	0.94	0.88
SVK	0.59	0.79	0.90	0.56	0.53	1.00	0.93	0.92	0.67	0.76		0.97	0.93	0.87
SVN	0.81	0.60	0.83	0.61	0.57	1.18	0.93	0.89	0.73	0.84		1.34	0.94	0.84
ESP	0.61	0.70	0.86	0.64	0.79	1.09	0.94	0.93	0.64	0.91		0.95	0.83	0.92
SWE		0.86	0.95	0.86	0.70	1.15	0.93	0.91	0.99	0.68		0.85	0.89	0.97
CHE		0.67	0.93	0.87	0.69	1.75	0.93		1.11			0.78	0.56	0.96
TUR		0.55	0.81	0.92	0.77		0.96	0.94	0.55	1.03		1.09	1.03	0.93
GBR		0.67	0.94	0.73	0.77	1.26	0.96	0.92	0.87	0.70		1.17	0.78	0.96
USA	0.27	0.60	0.85	0.45		1.65	0.93	0.86	0.56	0.65		0.79	0.71	0.95
OECD	0.59	0.70	0.89	0.70	0.70	1.26	0.93	0.91	0.78	0.75		1.01	0.84	0.93
LTU			0.79	0.28	0.61	0.93	0.91	0.89	0.50	0.54		1.00	1.05	0.89