ISO	JE_HOUE_gender	JE_LOPA_gender	JE_EMPL_gender	JE_UNEM_gender	HS_SFRH_gender	WL_EWLH_gender	WL_LEPC_gender	ES_EDUA_gender	ES_STCS_gender	ES_ADCO_gender	SC_SNTWS_gender	SC_TSOC_gender	CG_POEF_gender	CG_VOTO_gender	EQ_SATW_gender	PS_HOMI_gender	PS_SFRV_gender	SW_LIFS_gender
AUS	0.79	0.70	0.86	0.98		3.03	0.99	0.88	1.02	0.97	0.71	1.06	1.08		1.00	1.86	0.40	1.04
AUT	0.78	0.40	0.89	1.15	0.86	1.66	0.98	0.59	1.02	0.97	0.88	1.02	1.01		0.78	1.25	0.63	0.99
BEL	0.94	0.64	0.89	1.17	0.84	2.08	0.98	1.09	1.01	0.96	0.75	1.11	0.96		0.82	1.10	0.44	0.99
CAN	0.82	1.06	0.92	1.23		2.87	0.98	1.27	0.99	0.97	1.14	1.13	1.10		1.00	2.33	0.29	1.04
CHL	0.87	0.47	0.71	0.85	0.67			0.99	1.02	0.94	0.94		1.29		0.97	6.50	0.75	1.02
CZE	0.78	0.62	0.80	0.70	0.89	2.81		0.57	0.99	0.98	1.00		0.96		1.00	1.50	0.47	0.99
DNK	0.89	0.55	0.92	0.92	0.87	2.38	1.01	1.14	0.99	0.98	0.50	1.17	1.27		0.86	2.00	0.24	0.99
EST	1.15	0.61	0.91	1.02	0.90	1.43	0.93	1.61	0.99	0.99	1.00	1.11	1.00		1.06	5.20	0.50	0.98
FIN	0.78	0.45	0.97	1.12	0.99	2.58	0.97	1.58	0.95	0.99	1.25	1.20	1.12		0.67	1.80	0.24	1.07
FRA	0.81		0.91	1.09	0.84	1.50	0.97	0.91	0.99	0.98	1.09	1.07	1.04		1.16	2.00	0.79	0.98
DEU	0.81	0.55	0.90	1.18	0.91	2.23	0.99	0.78	1.00	0.96	0.90	1.09	0.99		1.14	1.00	0.70	1.00
GRC	0.92	0.76	0.72	0.75	0.82	1.88		1.13	0.97	1.00	1.11		0.96		1.03	4.00	0.62	1.08
HUN	0.83	0.81	0.82	0.94	0.84	2.04	0.95	0.82	0.99		1.00	0.74			1.05	1.43	0.63	1.02
ISL	0.79	0.65	0.95	0.97	0.76	1.86		1.03	0.97		2.00				1.00	1.00	0.27	1.00
IRL	0.78	0.66	0.84	1.41	0.92	1.98	0.97	1.32	1.01	0.97	1.67	0.98	1.04		1.07	4.50	0.47	0.99
ISR	0.73	0.59	0.89	0.95				1.13	0.99	0.98	0.83		1.01		1.26	2.60	0.50	0.99
ITA	0.89	0.57	0.72	0.89	0.80	1.58	0.94	1.10	1.01	0.98	1.80	0.82	1.01		0.82	2.75	0.71	0.98
JPN	0.72	0.32	0.79	1.18	0.95		1.03		1.01	0.97	3.00	1.51	0.87		1.00	1.50	0.55	1.05
KOR	0.64	0.41	0.74	1.06	0.89		0.96	0.62	0.96	0.97	1.18	1.14	1.13		1.13	1.20	0.64	1.02
LVA	0.85	1.00	0.95	1.28	0.85	1.40		1.90	0.96		1.83				0.94	3.17	0.66	0.97
LUX	0.88	0.61	0.85	0.83	0.88	1.34		0.95	1.00		0.57				1.27	1.00	0.68	1.01
MEX	0.88	0.62	0.57	0.95			0.97	0.98	1.00		1.33	1.04			1.09	8.47	0.91	1.00
NLD	0.80	0.45	0.88	0.90	0.76	1.43	1.03	0.92	0.99	0.96	0.56	1.11	1.12		0.86	1.29	0.31	1.00
NZL	0.87	0.77	0.87	0.87			1.01	0.92	0.99	0.98	2.25	1.29	1.09		0.69	1.36	0.43	1.03
NOR	0.86		0.95	1.14	0.87	3.14	1.02	1.04	0.97	0.97	1.00	1.29	1.17		0.67	2.25	0.20	1.03
POL	0.83	0.85	0.82	0.95	0.86	2.45	0.96	1.04	0.99	1.01	1.00	1.00	1.06		1.00	3.25	0.61	1.02
PRT	0.88	0.63	0.91	0.95	0.85	1.99	0.90	1.14	1.00		0.64	0.68			0.64	1.00	0.54	1.02
SVK	0.79	0.74	0.81	0.80	0.81			0.73	0.98	1.00	1.00		1.00		1.08	1.67	0.72	0.97
SVN	0.90		0.88	0.80	0.83	2.34	0.94	0.83	0.97	1.00	0.86	0.95	1.01		0.75	1.25	0.44	1.02
ESP	0.93	0.57	0.84	0.88	0.77	2.27	0.98	1.10	1.00	0.97	2.00	1.18	1.00		0.92	2.00	0.82	1.02
SWE	0.83		0.96	1.04	0.78	1.75	1.00	1.13	0.97	0.97	0.80	1.09	1.34		0.80	2.20	0.30	0.99
CHE	0.79	0.40	0.90	0.97	0.80	2.36		0.79	1.00		1.14				1.00	0.67	0.55	1.04
TUR	0.94		0.44	0.73	0.75		0.97	0.87	0.98	0.92	1.00	1.15	1.02		1.00	4.67	0.65	1.02
GBR	0.80	0.58	0.88	1.06	0.97	1.79	0.98	0.93	0.99	0.97	0.29	1.00	1.09		1.12	4.00	0.57	0.96
USA	0.76	0.71	0.85	1.03		1.91	0.98	1.18	1.00	0.97	2.50	1.07	1.23		1.13	3.76	0.59	1.03
OECD	0.84	0.63	0.84	0.99	0.85	2.08	0.98	1.03	0.99	0.97	1.19	1.08	1.07		0.97	2.50	0.54	1.01
LTU		0.75	0.98	1.24	0.82	1.47	0.94	1.97	1.03	1.00	0.83	1.05	0.83		1.05	3.25	0.85	0.98