ISO	IW_HADI_ver_ineq	IW_HNFW_ver_ineq	JE_PE_ver_ineq	HS_MORT_ver_ineq	WP_HOWO_ver_ineq	WL_LEPC_ver_ineq	ES_STCS_ver_ineq	ES_ADCO_ver_ineq	SC_TSOC_ver_ineq	CG_POEF_ver_ineq	SW_LIFS_ver_ineq
AUS	5.66	46.47	3.47	12.54	1.72		1.70	1.62		4.05	2.00
AUT	4.23	55.59	3.33	12.28	1.36	1.90	1.71	1.54	12.15	4.40	2.07
BEL	4.00	42.50	2.33	12.79	1.48		1.71	1.58		4.05	1.87
CAN	5.46	50.31	3.71	12.15	1.53	1.19	1.58	1.66	5.21	3.78	1.95
CHL	10.63	55.79	4.38	12.23			1.68	2.04		3.08	2.73
CZE	3.74		3.57	12.97	1.32		1.68	1.49		4.17	2.48
DNK	3.58		2.56	13.89	1.37	1.81	1.57	1.65	12.57	3.15	1.78
EST	6.69	55.71	4.40		1.27		1.54	1.71		4.32	2.85
FIN	3.70	45.23	2.57	14.36	1.35	1.89	1.58	1.62	11.18	2.98	1.83
FRA	4.40	50.59	2.98	13.53	1.50	1.73	1.77	1.62	9.87	3.62	2.15
DEU	4.40	59.76	3.41		1.54		1.66	1.57		4.31	2.16
GRC	6.32	42.42	3.27		1.69		1.73	1.62		2.47	4.14
HUN	4.47	48.48	3.72	14.15	1.21		1.73				3.74
ISL	3.42		2.94		1.66		1.69				1.97
IRL	4.80	53.79	3.96		1.60	1.81	1.55	1.84	8.38	4.25	2.15
ISR	7.39		4.91	12.62			1.86	1.64		4.40	2.05
ITA	5.82	42.78	2.17	11.10	1.41	1.84	1.67	1.44	11.54	4.25	2.44
JPN	6.07		2.94				1.58	1.52		4.09	2.51
KOR	5.41		4.79				1.65	1.53		3.18	3.20
LVA	6.34	63.38	4.50	15.83	1.25		1.56				3.08
LUX	4.24	48.67	3.41		1.34		1.75				1.88
MEX	10.43		3.88	13.94		1.94	1.60		11.96		2.59
NLD	4.28	68.35	2.94		1.24	1.41	1.68	1.61	5.27	2.96	1.58
NZL	5.33	48.64	2.95	14.42			1.70	1.62		3.34	1.95
NOR	3.77	51.45	2.42	13.00	1.44		1.63	1.58		3.36	1.88
POL	4.72	41.84	4.03	14.31	1.41		1.59	1.49		3.68	2.83
PRT	6.05	52.13	4.08		1.45		1.65				4.02
SVK	4.06	34.33	3.56	12.82	1.28		1.78	1.68		4.18	2.80
SVN	3.82	48.62	3.26	12.74	1.20		1.62	1.69		3.78	2.92
ESP	6.65	45.58	3.24		1.42	1.24	1.60	1.57	3.64	4.31	2.31
SWE	4.21		2.28	13.26	1.31		1.70	1.60		3.35	1.92
CHE	4.44		2.72		1.40		1.68				1.87
TUR	7.55		4.85	11.02			1.65	1.81		3.98	3.94
GBR	5.96	46.59	3.49	11.19	1.74		1.67	1.57		4.23	2.23
USA	8.66	78.19	5.04	13.80	1.51	2.11	1.69	1.71	12.89	3.69	2.31
OECD	5.45	51.09	3.49	13.08	1.43	1.72	1.66	1.63	9.51	3.76	2.46
LTU	6.18				1.23		1.66	1.49		2.29	2.83